Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304",8,Weight in kilograms,18899,,,,18899,,60618,,,0
H4,2012,2012,2012,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304",8,Weight in kilograms,3230087,,,,3230087,,23067801,,,0
H4,2012,2012,2012,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304",8,Weight in kilograms,1780,,,,1780,,12001,,,0
H4,2012,2012,2012,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304",8,Weight in kilograms,307659,,,,307659,,3761222,,,0
H4,2013,2013,2013,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304",8,Weight in kilograms,2392462,,,,2392462,,13617899,,,0
H4,2013,2013,2013,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304",8,Weight in kilograms,1998,,,,1998,,13133,,,0
H4,2013,2013,2013,6,1,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304",8,Weight in kilograms,1000,,,,1000,,3000,,,0
H4,2013,2013,2013,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304",8,Weight in kilograms,38907,,,,38907,,856645,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304",8,Weight in kilograms,2509092,,,,2509092,,12691908,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304",8,Weight in kilograms,15429,,,,15429,,52723,,,0
H4,2014,2014,2014,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304",8,Weight in kilograms,120461,,,,120461,,1172526,,,0
H4,2015,2015,2015,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304",8,Weight in kilograms,1544064,,,,1544064,,6833316,,,0
H4,2015,2015,2015,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304",8,Weight in kilograms,17826,,,,17826,,100266,,,0
H4,2015,2015,2015,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304",8,Weight in kilograms,48571,,,,48571,,463667,,,0
H4,2016,2016,2016,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304",8,Weight in kilograms,46,,,,46,,230,,,0
H4,2016,2016,2016,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304",8,Weight in kilograms,1020412,,,,1020412,,4916072,,,0
H4,2016,2016,2016,6,1,2,Export,360,Indonesia,IDN,702,Singapore,SGP,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304",8,Weight in kilograms,3260,,,,3260,,14678,,,0
H4,2016,2016,2016,6,1,2,Export,360,Indonesia,IDN,826,United Kingdom,GBR,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304",8,Weight in kilograms,3,,,,3,,5,,,0
H4,2016,2016,2016,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,030232,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, livers, roes, and other fish meat of heading 0304",8,Weight in kilograms,111910,,,,111910,,1111490,,,0
H3,2010,2010,2010,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,030232,"Yellowfin tunas (Thunnus albacares), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",8,Weight in kilograms,196,,,,196,,980,,,0
H3,2010,2010,2010,6,1,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,030232,"Yellowfin tunas (Thunnus albacares), fresh/chilled (excl. fillets/other fish meat of 03.04/livers & roes)",8,Weight in kilograms,5104566,,,,5104566,,33639879,,,0
